text,intent,urgency,department
"Greetings members. I would like to introduce you to a digital platform to report crime alerts realtime for realtime response from security agencies. The platform is called mulika uhalifu and uses a short code 22068. You can save this code under mulika uhalifu. When you witness crime, quickly take your phone, go to messages, write the word Nairobi, then message, then your exact location, then send to the short code. Within seconds, you will receive a message informing you that your message will be relayed to authorities. All security agencies will receive your message and the ones nearest you respond to it within minutes. Your identity will be not be known by the security agencies. The message will only cost you one Bob.",crimereport,low,case_management
thanks for the infor.,thanks,low,general
CPIMS HQ team kindly send the reporting tools for Langata and Kibra for this financial year to teresa77ke@yahoo.com.,help,low,general
Thought the tool is continuous have you tried 1st of July..,help,low,general
"For tool A I guess it's possible to continue, as for tool B the last worksheet is on dictionary (defining counties) .",sheets,low,data_registry
madam peninah lost her laptop during last week conference please let her check with kilimani ploice station to see if is among the recovered ones.,help,low,general
Sure I will inform her once she is in the office,help,low,general
"Hi all, there is an offer for Dcs officers for online 4weeks/6weeks deinstitutionalisation training by Lumos Foundation..if interested notify by sending your full names, duty county and email address on this forum by tomorrow evening..certificates will be provided on completion.",Emailaccess,low,ict_support
Well you may include me pombasa2002@gmail.com from Kasarani sub county.,Emailaccess,medium,ict_support
"Grace Kanana Mbaya. Starehe sub-county, grakam86@gmail.com",Emailaccess,medium,ict_support
Comfort Karimi Gachoki. Westlands sub-county.,help,low,general
Ann Kirugumi.... Getathuru National Reception Center. kirugumiann@gmail.com,Emailaccess,medium,ict_support
Ogindo.vcf (file attached),help,low,general
"Hi, kindly add Mr. Peter Ogindo the current head of CPIMS. thank you",thanks,low,general
"Norah Ondieki, Kabete Rehabilitation School on die kin or she yahoo.com",help,low,general
ondiekinorah@yahoocom,help,low,general
Susan pinya helpline Westland s,help,low,general
susanpinya@gmail.com,Emailaccess,medium,ict_support
"Mary Kazee,Machakos children Remand",Childreninremand,low,case_management
westlands sube county,help,low,general
Admin kindly add Carol Meres,help,low,general
Carol Meres.vcf (file attached),help,low,general
Admin kindly add Mary Njuguna 0723374375 dagoretti girls rehabilitation school,genderissues,medium,case_management
Zynabu Jepleting Kebenei. Nairobi Children Rescue Center. Kebeneizynabu@gmail.com,Emailaccess,low,ict_support
Mary njuguna ..dagoretti girls rehabilitation school..mwaginar@yahoo.com,genderissues,medium,case_management
Dagoretti sub county,help,low,general
Kindly admin add Jane wachianga 0721487900 and Florence Juma 0727102509 Dagoretti girls rehabilitation school,genderissues,low,case_management
"Include me Anne kerubo Nyamweya,kabete rehabilitation school,",help,low,general
"Admin..thanks for adding me. Despite the challenges, lets strive to enter and manage cases. I ll post the status soon.",ChallengesOfStaff,low,training_admin
JUDY KIBUE....... Getathuru Reception...... judykibue@yahoo.com,help,low,general
@ Lilian kindly Reset Judy Kibue Account - Getathuru. Thanks,notAbleToReset_Password,low,ict_support
Admi kindly rectify my email...it was mwagimar@yahoo.com,Emailaccess,medium,ict_support
"Her Name is Mitchel!!! Around 3yrs. Was Found yesterday around Githurai44 by a Good Samaritan. She say her moms name is Ciiru and her gramma is Muthoni. Any one with information about her family, please visit Kasarani Childrens Office (Kasarani Police station) or Marurui police post.. Kindly share wide!!!!!! She has been referred to Kasarani by Marurui Police Post!!!! Please Share!!! Share!!! Share!!!! Help Mitchel find her Family!!!!!",ArrestedChildren,low,case_management
Kindly someone reset gmbaya,notAbleToReset_Password,medium,ict_support
Done-use default password,passwords,medium,ict_support
Hi Lilian please reset bmuli,notAbleToReset_Password,low,ict_support
We urgently require the excel tool A from all the sub counties. Respond,sheets,high,data_registry
Sending for Makadara shortly,help,low,general
We have only recieved tool A from starehe and embakasi. What could be the problem. Let each officer send or explain their challenge. This issue is critical.,sheets,high,data_registry
I sent yesterday for makadara kindly confirm asap,help,low,general
Please add Grace from Dagoretti to the group. She's currently incharge of the subcounty,help,low,general
"So far we ve recieved for Embakasi, Starehe and Makadara",help,low,general
Reset mkazee pliz,notAbleToReset_Password,medium,ict_support
Done use default password:1234,passwords,medium,ict_support
Westlands sub-county already sent.,help,low,general
Hello Nairobi Team,greeting,low,general
"we have looked at the 2017/18 Nairobi County Caseload in the system and noted with concerns, the differences between the excel tool caseload reporting and the caseload in the CPIMS. Some sub counties have nil entries running to many months. Please let all the SCCO take this seriously and ensure that all last years data is captured in the system even as we build the 2018/19 caseload in the system.",Population,high,data_registry
"I have read the case load returns with surprise I personally sent the returns to ogindo, mbai and team and even giving the same in a memory stick to ogindo how come you write nil for kasarani could kindly recheck your systems. Your system has even forgotten Roysambu and Ruaraka please recheck and confirm maybe I may be wrong.",help,low,general
"Hello Mr. Ombasa, Please note the difference; the caseload referred to here is CPIMS caseload. The one you gave us is excel tool Caseload ( manual caseload).",Population,low,data_registry
Hello Peter does this data include case management or rather concluded cases or just entries in the system?,greeting,low,general
"Hello Ruth, Please note that the caseload we have shared simply refers to cases created in to the system. Currently we are addressing availability of data into the system. we shall revert back to you in due course on issues of case management and data quality.",Population,low,data_registry
But I don't have pending cases for those months as indicated above apart from management.,help,low,general
2 contacts.vcf (file attached),help,low,general
Kindly add to the group,help,low,general
Morning trust all is well someone reset gmbaya Grace of Starehe account thanks,notAbleToReset_Password,low,ict_support
"Going forward we have allocated specific officers to follow up on CPIMS data and offer support. For Nairobi, your officer Is Lilian Barasa",help,low,general
Kindly reset wnguiku n vigoki,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Kindly reset Rukiah Abdi,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Ann Kirugumi - Getathuru Reception,help,low,general
"Done, use default password 1234 and change",passwords,medium,ict_support
Please reset Colilo,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
"kindly reset Jgichuru,Pkogo,Fngamiah,Fireri and Nmoraa at kabete",notAbleToReset_Password,medium,ict_support
rehabilitation school,help,low,general
Hi Ogindo. Which caseload should we return? Tool A or B. The last time I checked you told me tool B will be phased out. Please clarify,Population,low,data_registry
"Only Tool A for this financial year. sub county officers are to send their returns to the county. At the HQ, we expect all Tool As from the county sent at once.",sheets,low,data_registry
"Done, use default password 1234 and change",passwords,medium,ict_support
@Lilian kindly reset Ann Kirugumi Getathuru Recep. Thanks,notAbleToReset_Password,low,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
"Good morning Admin,please add Pauline (0721811007) of HQ to this group.Regards",greeting,low,general
Good morning colleagues and friends in Kasarani.,greeting,low,general
"Hello Team Nairobi, Plse look at the CPIMS status report. The picture does not look good for a number of SCCO. By now we should have the same caseload within months as reflected in the excel tool in each sub county. Lets put more effort and clear the backlog within this quarter.",CPIMSstatusreport,low,ict_support
The system keeps showing the above. Kindly advice,help,low,general
"Good afternoon, kindly go above site and go through the data and see whether it's what you reported",greeting,low,general
Please note it's data from Excel tool,sheets,low,data_registry
Is this issue still appearing today as it is a browser problem and the error was customized yesterday to bring a user friendly page.,systemerror,low,ict_support
Kindly reset Judy kibue Getathuru National Recep...thanks,notAbleToReset_Password,low,ict_support
jkibue reset-use default password 1234,notAbleToReset_Password,medium,ict_support
"kindly reset mkazee,machakos remand",notAbleToReset_Password,medium,ict_support
mkazee reset-use default password 1234,notAbleToReset_Password,medium,ict_support
"Its time to shift on how we look at ourselves and treat others;if we need to make just ONE resolution for year 2019 lets think about small things that matters most in life ""Appreciating what we can all do together without Malice and contradiction""-In life its not about who wins which argument but who wins whose soul in the eyes of God.Peaceful, stable year 2019-Ngacha Njeri.",help,low,general
Kindlyreset wnguiku,notAbleToReset_Password,medium,ict_support
Done -use default password 1234,passwords,medium,ict_support
Hi. Lilian kindly reset akirugumi,notAbleToReset_Password,low,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Dear Lilian. Please forward the soft copy of the case record sheets.,Recordassess,medium,data_registry
My email is waolilo@gmail.com.,Emailaccess,medium,ict_support
Kindly check your email and confirm,Emailaccess,medium,ict_support
Will check. Thanks in advance for your efficiency.,thanks,low,general
Please reset Mkirera,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Kindly reset mkazee,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Kindly reset Akirugumi,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Thanks for the add,thanks,low,general
Thank for the add Loise,help,low,general
Thanks Loise for the add,thanks,low,general
"Here are the caseloads for Nairobi County as at 4th March 2019. The shaded areas indicate months that have zero caseloads. Dagoreti (North + South) ,Langata (Kibra + Langata), Starehe and Westlands have made good progress. Other Sub county offices have huge backlogs that need to be managed as soon as possible.",Population,medium,data_registry
Does this include institutions,help,low,general
Here's the data for the institutions in Nairobi County,help,low,general
Please focus on the totals at the bottom. The Grand Totals to the right of the screen represent the whole county.,help,low,general
This had been confusing clarified thanks,thanks,low,general
Kabete rehabilitation not in the list,help,low,general
"My institution is no where because I have no one to do the CPIMS, most of Nairobi managers have not been trained too",onlinetraining,low,training_admin
Hi admin kindly add Brenta back,greeting,low,general
"Training s have been going but the staff concerned with data are never trained eg welfare staffs in institution ,others concerned with children data",onlinetraining,low,training_admin
Please reset lanzigale on test.cpims.net,notAbleToReset_Password,medium,ict_support
lanzigale-password reset done use default password 1234,notAbleToReset_Password,medium,ict_support
Reset for Mkirera. Her phone not smart,notAbleToReset_Password,medium,ict_support
Mkirera password reset done .use default password 1234.,notAbleToReset_Password,medium,ict_support
Reset Ann Kirugumi - Getathuru,notAbleToReset_Password,medium,ict_support
What your user name,help,low,general
"Done,use default password 1234 and change",passwords,medium,ict_support
"Good morning Team Nairobi,hope you are all well. We have noted that majority of the offices submitted the monthly caseloads using the old version of Tool A. Westlands , Makadara and Embakasi North SCCO's have the right tool. NB:The new Tool A has a column for Date of Birth.",DataSubmission,low,data_registry
Kindly send me the latest version Joshua,help,low,general
Kindly send the new version,help,low,general
Please download the whole file and unzip,help,low,general
Mbai please email to nzisabrenta@gmail.com,Emailaccess,medium,ict_support
Kindly reset akirugumi - Getathuru. Thanks,notAbleToReset_Password,low,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
"Afternoon, I am still expecting the team coming to the office?",help,low,general
Kindly reset japheth lumbasi,notAbleToReset_Password,medium,ict_support
"Now that phase 2 migration has toned down I have had the opportunity to go through the CPIMS live system and observed that most of you are up to date with the keying in of data. Kindly ensure accuracy, consistency and completeness of data.",LiveSystem,medium,ict_support
That is great Madam Mary,help,low,general
Remember issues of transfers in institutions,help,low,general
Kindly reset jkebenei,notAbleToReset_Password,medium,ict_support
Kindly reset jkebenei,notAbleToReset_Password,medium,ict_support
jkebenei successfully reset use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
Reset mkazee please,notAbleToReset_Password,medium,ict_support
Reset password successful use default password 1234 .then change password. Thanks,notAbleToReset_Password,medium,ict_support
Admin kindly add Brenta back to the group,help,low,general
"Goodevening Team Nairobi, here are the caseloads as entered into CPIMS.The shaded areas show months that no case has been entered by Sub COunty office.",Population,medium,data_registry
Kasarani is doing poorly,help,low,general
And here are the numbers from the respective Org units.,help,low,general
"Hello team Nairobi, except for Embakasi and Kasarani, the county has made great effort in CPIMS. Kasarani's case is very worrying. What vould be the problem? We are coming to the close oc the financial year and all cases handled should be in the system. Let all offices clear the backlong and ensure that the CPIMS caseload mirrors those in the excell tool across all the months.CCCS plse monitor",sheets,low,data_registry
Kasarani is working round the clock to see that we are upto date but the biggest question in the house. When did you ever train amy officer in kasarani we are just struggling.,accountunlocking,medium,ict_support
For continuity please add madam annisiah 0721481632,help,low,general
vigoki done use default password 1234 and change.,passwords,medium,ict_support
Resent penina kanyithia,help,low,general
"Done, use default password 1234 and change",passwords,medium,ict_support
Dear Team Nairobi. Below is a screenshot of the cases entered into the CPIMS Main system as at today. All offices will backlogs should prioritize reducing these as soon as possible.,AddmissionDelays,high,data_registry
"Embakasi North,Kasarani and Makadara have proportionately higher backlogs compared to the other offices.",AddmissionDelays,low,data_registry
Above are the caseloads for the Statutory Institutions already using the system.,Population,medium,data_registry
"Morning Joshua, this noted.",thanks,low,general
Hello... Kindly reset Lanzigale,notAbleToReset_Password,low,ict_support
Where is ruaraka,help,low,general
Ruaraka has zero cases for the reporting period and therefore was not included in the pivottable.,help,low,general
"Joshua, looks like something is wrong let me call you back in a moment",help,low,general
"Done, use default password 1234 and change",passwords,medium,ict_support
Seriously n dangerously floating on this wall.Naskia kama watu hapa wanaongea greek🤣🤣.Hope somebody is planning some very detailed CPIMS trainings for my case n others.,onlinetraining,high,training_admin
"As they hear your cry, may mine be heard too",greeting,low,general
We are alive to cases of officers who have not been in Nairobi. They shall be trained as soon as we get the opportunity. Your cries have been heard. Kindly be patient.,onlinetraining,low,training_admin
Please reset Judy kibue Getathuru,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
"For those who are interested in Monitoring and Evaluation, kindly click on this link to join",help,low,general
Kindly reset wnguiku and vigoki,notAbleToReset_Password,medium,ict_support
Hi! Someone reser my password pls. gmbaya,passwords,low,ict_support
"wnguiku, vigoki, Done, use default password 1234 and change",passwords,medium,ict_support
"gmbaya, done use default password 1234 and change",passwords,medium,ict_support
What should I do coz I can't remember old password for vigoki and wnguiku?,passwords,medium,ict_support
Put 1234 as your old password,passwords,medium,ict_support
Please transfer Maureen murugi Nyaga from Nakuru remand to Nairobi rescue and reset her password,passwords,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Thanks for the shift response,thanks,low,general
We been trying to work on cpims since morning its not working what would be the issue,systemerror,high,ict_support
"We are having a technical challenge with the system, once it’s sorted, you will be notified",ChallengesOfStaff,medium,training_admin
"The system is back, up and running, you can now proceed",help,low,general
Thanks we are in,thanks,low,general
Please give us permission to view children so that we can tell if its the same child to avoid duplication,recurringcases,low,case_management
This is in person registry,personregistry,low,data_registry
Please reset Susan and Rukiah,notAbleToReset_Password,medium,ict_support
-done use default password 1234 and change.,passwords,medium,ict_support
"Dear Team, please find the caseloads as entered in CPIMS for the period January 2019 todate.We are all encouraged to sustain the efforts in data entry.",DataEntry,medium,data_registry
Institutions hakuna,help,low,general
Am not able to log in to CPIMS.. Could there be a problem or it's just my computer....,login,medium,ict_support
"OK, probably internet problems",help,low,general
Please reset Ewangui,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Good morning.Admin kindly add our new clerical officer who will be doing CPIMS for Kasarani Sub County Children's office.Mercy Bore 0720671349.,greeting,low,general
"Dear All, please find the caseloads for the respective offices . Highlighted cells indicate months with zero cases in the system. Offices that have zero cases for the period between July 2018 todate have not been included in the list.",Population,low,data_registry
Clarifications on embakasi north july 8th data for dec 18.feb.mar n apr 19 resent to joshua and so jan 19 resent to the above address the july was forwarded from a mail sent the cco and amongst others derrick may june also forwarded,help,low,general
@254722466987 this is CPIMS data not Excel. Thanks for sending the excel files.,sheets,low,data_registry
We have been problems with cpims as far as logging is concerned,complaint,medium,case_management
Hello. IT Team pls reset gmbaya and bmuli,notAbleToReset_Password,low,ict_support
"Done, use default password 1234 and change.",passwords,medium,ict_support
Pls reset wnguiku vigoki,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Plse reset pmakori -Getathuru,notAbleToReset_Password,medium,ict_support
Please reset pmakori from Getathuru,notAbleToReset_Password,medium,ict_support
"Good evening friends and colleagues,",greeting,low,general
Kindly reset Francis nyaga Fnyaga and Japheth Lumbasi Jlumbasi,notAbleToReset_Password,medium,ict_support
Kabete rehabilitation,help,low,general
Kindly reset Jlumbasi live site want to admit children,notAbleToReset_Password,low,ict_support
Done. Use 1234 as default password. Sorry for the delay,passwords,medium,ict_support
"Dear Team Nairobi, please find below caseloads for the respective County and Subcounties for the period between July 2019 and to date. The offices with zero data have not been included in the report. The shaded cells indicate months with zero cases. We are all encouraged to work on our backlogs and ensure we are all up to date.",Population,medium,data_registry
Contact for kasarani sub county officer,help,low,general
Hi kindly reset matati from Nairobi children's court.,notAbleToReset_Password,low,ict_support
"Done, use default password 1234 and change.",passwords,medium,ict_support
"Embakasi North ,Kasarani and Roysambu jameni kuna shida gani?",help,low,general
We can support if there is a problem,help,low,general
"Ochieng, I thought you had Ombasa's no. We have a problem with Kasarani on isdues of data.",help,low,general
CPIMS has been updated today 05 October 2019 at 1900hrs. Check out for the following;,upda,medium,data_registry
Hi kindly reset matati from Nairobi children's court again am still unable to log in.,notAbleToReset_Password,low,ict_support
Reset done use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
Kindly reset wnguiku,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change",passwords,medium,ict_support
Reset ckirui in the live system,notAbleToReset_Password,medium,ict_support
"Done, use default password 1234 and change.",passwords,medium,ict_support
"I have been locked out, kindly reset once more",accountunlocking,medium,ict_support
Unlocked and reset login,accountunlocking,medium,ict_support
CPIMS UPGRADE - 26TH-OCT-2019,help,low,general
We urge all users to test the developed features above and give feedback,systemfunctions,medium,ict_support
Dear Team Nairobi. We have noted that Embakasi North and Kasarani offices have backlogs from March and January 2019 respectively. All other offices are working on their Sep and October caseloads which is commendable.Let me know if there is any area that we can support to clear the backlog for Embakasi North and Kasarani to clear the backlogs.,Population,low,data_registry
Joshua could you please see if you can assist kasarani I am still on leave,leavedays,low,training_admin
Embakasi is on an an RRI despite challenges of only having one functional machine,systemfunctions,low,ict_support
CPMIS head can we get someone technician to check on our machine any referrals please. Thanks it's actually collapsing only one is functioning. Will appreciate Joshua,systemfunctions,low,ict_support
Nairobi handles a lot of data almost all machines are not working. At Nyayo House the computer is not working. There is need to capacity build the county to manage data. Other counties handling far less data were included in donour support. Am not complaining but humbly stating that we really need to prioritise according to needs and that is how we can achieve credible Results that will take this dpt forward.,systemerror,low,ict_support
It is true Mary and nairobi is the core of CPIMS.We are looking at it .,help,low,general
Thank you Ochieng for your understanding.,thanks,low,general
MWENDO is coming to Nairobi,help,low,general
It is here with us. I work in the mwendo.,help,low,general
"Good morning, please reopen my account, it has been locked. Madam Penina Sub-county Westlands",accountunlocking,medium,ict_support
Also to include lack of manpower and internet bundles actually we are running the program from our pockets.,help,low,general
What is user name,help,low,general
This is the biggest challenge,ChallengesOfStaff,low,training_admin
"Done, use default password 1234 and change",passwords,medium,ict_support
Reset Jlumbasi Kabete rehabilitation,notAbleToReset_Password,medium,ict_support
Kindly reset wnguiku,notAbleToReset_Password,medium,ict_support
Thanks madam for the add,thanks,low,general
Hello Kindly reset Comfort Karimi,notAbleToReset_Password,low,ict_support
What is your username?,help,low,general
"Done, use default password 1234 and change",passwords,medium,ict_support
mwambui and cgachoki reset done.,notAbleToReset_Password,medium,ict_support
mmbuga reset done use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
Please reset Susanouma and Rukiah Embakasi,notAbleToReset_Password,medium,ict_support
souma reset done use default password 1234 and change,notAbleToReset_Password,medium,ict_support
rabdi reset successful use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
pombasa reset done use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
Hi kindly resent mwambui westlands,greeting,low,general
Done reset with default password 1234 then change to your desired password.,notAbleToReset_Password,medium,ict_support
Hi kindly reset my password Mboore Kasarani.,passwords,low,ict_support
Reset done use default password 1234 and change.,notAbleToReset_Password,medium,ict_support
"Dear Team Nairobi,",help,low,general
"Happy New Year Team CPIMS, please find attached below a screenshot of CPIMS caseload as at today.",Population,medium,data_registry
"Good afternoon colleagues,",greeting,low,general
"Thank you Mr.Ombasa and we appreciate your cordial working relationship that you incubated,cultivated and projected beyond obvious reasons.It was equally exciting and great pleasure working with you in Kasarani.All the best in your new endevour.",thanks,low,general
"Welcome Loice ,we will se a change in data entry as a TOT",DataEntry,low,data_registry
🤣🤣🤣🤣 karibu sana Loyce,greeting,low,general
Welcome Loyce good to have you as part of the Nairobi team.,help,low,general
"Team CPIMS , we are conducting checks on the quality of data entered into CPIMS. We have filtered out cases of boys with child pregnancy cases for the current FY. Please fix the issue by editing the details of the case for the affected offices.",genderissues,low,case_management
"Team CPIMS , we are conducting checks on the quality of data entered into CPIMS. We have filtered out cases of boys with child pregnancy cases for the current FY. Please fix the issue by editing the details of the case for the affected offices.",genderissues,low,case_management
Hello. Someone kindly reset bmuli and gmbaya,notAbleToReset_Password,low,ict_support
Send their email addresses,Emailaccess,medium,ict_support
starehedco@gmail.com,Emailaccess,medium,ict_support
grakam86@gmail.com,Emailaccess,medium,ict_support
Martha kindly help my out. Am not able to access it.,systemAcess,medium,ict_support
Your email is already set. Use the forgot password functionality to reset your password.,passwords,medium,ict_support
Your email is already set. Use the forgot password functionality to reset your password.,passwords,medium,ict_support
Your email is already set. Use the forgot password functionality to reset your password.,passwords,medium,ict_support
Thanks too Martha for guiding me through the process. It went through.,thanks,low,general
Kindly reset my password ..Mboore,passwords,medium,ict_support
Kindly send your email address,Emailaccess,medium,ict_support
mutuguni@gmail.com,Emailaccess,medium,ict_support
"Your email is already set. When log in at the dashboard, Use the forgot password functionality to reset your password.",passwords,medium,ict_support
I need to be moved to Kasarani,help,low,general
Unable to access my old password.kindly assist,passwords,medium,ict_support
Already moved to Kasarani,help,low,general
Thanks for the assistance.,thanks,low,general
"Hi, I need password reset.... loysanzigale@gmail.com",passwords,low,ict_support
"Your email is already set. When log in at the dashboard, Use the forgot password functionality to reset your password.",passwords,medium,ict_support
Kindly reset my password jkibue email judykibue@yahoo,passwords,medium,ict_support
Your email was set so use the forgot password functionality to self reset.,passwords,medium,ict_support
Kindly reset password for Susan and Rukiah,notAbleToReset_Password,medium,ict_support
Please circulate the forwarded circular to relevant people in your circle.,help,low,general
"Dear All, we have finalized the PASSWORD RESET functionality on CPIMS. This has allowed many of us to reset their passwords. We kindly request all CPIMS users to assist in the following;",passwords,low,ict_support
This document offers a step-by-step guide to resetting your password and updating both organizations and personal details.,passwords,low,ict_support
Hi trust we are doing well.,greeting,low,general
Kindly reset wnguiku,notAbleToReset_Password,medium,ict_support
"Good morning Mr Wanks,",greeting,low,general
I have a new email the previous one crashed,systemerror,high,ict_support
"I have checked your Email address details not included,",Emailaccess,medium,ict_support
wanjaunguiku@yahoo.com,help,low,general
Details updated. You can now proceed to self reset.,upda,medium,data_registry
"Karibu wanjau ,Your sub couty doesnot have any data since july 2019",greeting,low,general
"Good morning Team CPIMS,below are the caseloads on CPIMS as at today.We thank you for continued data entry during these times.",DataEntry,low,data_registry
Kindly reset for me password,passwords,medium,ict_support
My user name is Jkebenei,help,low,general
I have tried but no link has been send to my email,Emailaccess,medium,ict_support
What is your Email address?,Emailaccess,medium,ict_support
Kebeneizynab@yahoo.com,help,low,general
Email details updated. Your can now reset your account.,upda,medium,data_registry
Kindly reset Susanouma and Rukiah Abdi,notAbleToReset_Password,medium,ict_support
Kindly use forgot password functionality to reset your account.use Rukiash@yahoo.com the email address configured in the system. Thank you,passwords,low,ict_support
And suzatie@yahoo.com,help,low,general
Hope you managed.,help,low,general
Yes thanks Sammie,thanks,low,general
Is the Child protection temporary unavailability. Have been trying since Jana and that the response.,help,low,general
It is being sorted,help,low,general
Brenta you can do it youself in the cpims,help,low,general
Follow the following steps to do self reset.,notAbleToReset_Password,medium,ict_support
"Hi,I tried to reset my password.....but email not forthcoming. What could be the reason?",passwords,low,ict_support
What's your username?,help,low,general
And Email address?,Emailaccess,medium,ict_support
Your account is still showing you are working in Webuye East and West Sub county. What is your current station?,help,low,general
"🤦‍ Nairobi, Dagoretti sub county",help,low,general
"Done, use forgot password functionality to reset your account.",passwords,medium,ict_support
"Hello team, kindly refresh my memory.",greeting,low,general
Hi Liz yes. Start at 1,greeting,low,general
Thanks so much for the help. God bless you,thanks,low,general
Kindly assist me to reset password it is not accepting my email,notAbleToReset_Password,medium,ict_support
What is your username?,help,low,general
What is your email address?,Emailaccess,medium,ict_support
peninamk02@gmail.com or westlandsscco@gmail.com,Emailaccess,medium,ict_support
Your username in the system is pkanyithia,help,low,general
Hi Lillian the system is not accepting this email. Kindly assist,Emailaccess,low,ict_support
What is the message or share your screenshot.,help,low,general
There was an error processing your request. Contact admin,systemerror,high,ict_support
Try again. Last login was Feb 2020.,login,medium,ict_support
Goodevening team CPIMS. Below is an update on the status of CPIMS data entry as at today.Let us all work towards finalizing the backlogs by 15th July 2020.,upda,medium,data_registry
Data from the Children Court has not been forthcoming.,help,low,general
"Team Nairobi, we are missing data from Mathare and Roysambu Subcounties. Let me know if we need help on these.",missinginformation,medium,data_registry
"Hi Joshua, our system only indicated Starehe Sub County capturing both Mathare and starehe",DataEntry,low,data_registry
Joshua we've talked about this before. Maybe you can consider creating Mathare now that another year is starting and Mathare has its own physical office.,help,low,general
That will be fine,help,low,general
Thank you for the add,thanks,low,general
"Team CPIMS,hope you are well. As you work on the backlogs on CPIMS. Please take note of common data entry mistakes that involve age and Sex variables. An example is girls aged below 10 years with child pregnancy cases. Or Boys with child marriage or child pregnancy cases. Let us all partner in enhancing the quality of data in CPIMS. Thanks All",genderissues,medium,case_management
"Hi Joshua, sorry for this. Will look into it and revert",greeting,low,general
Haiyaa. Will look into this and revert. Sorry,help,low,general
"Dear Team CPIMS,I wish to thank everyone for the efforts in working on the caseloads for the last FY. Below are the caseloads by office and sub-county. Please confirm that these are all the cases received for the previous financial Year.",Population,medium,data_registry
"Embakasi north,mathare,ruaraka,roysambu and westlands any challange?",help,low,general
"Cases for Mathare are captured under starehe. In this financial year the system only had starehe as the reporting office, but going forward Joshua has created Mathare as an organization unit since we have a physical office and in the system we will capture cases reported at Mathare. What had requested Joshua is to map one of us as the workforce.",help,low,general
Roysambu and Ruaraka had not been created as org units and therefore all cases were reflecting under Kasarani.. But I talked to Newton and he corrected that as to why cases don't reflect I don't know... but the cases are entered separately per Sub-County,help,low,general
Hi Joshua thanks for the updates however for westlands that's not correct. The data I forwarded to the county office doesn't have any gaps,upda,medium,data_registry
"Joshua, do we still fill tool A. I think you enter data into the system Penina.",DataEntry,low,data_registry
"Morning @254722835809, we discontinued Tool A in January.We no longer require anyone to submit that.",sheets,low,data_registry
No Mary tool A was discontinued in june 2020.,sheets,low,data_registry
"Yes, coz like Penina stated some subcounties still submit to my Office.",help,low,general
"Thanks ,they should put their energy in entering data directly into the CPIMS.",greeting,low,general
"Dear Team CPIMS, I wish to thank everyone for the efforts made in entering data into CPIMS.We have done some preliminary analysis on the proportion of cases that are still pending or open between July 2019 and todate. Let us try and fill data related to interventions especially for the period July 2019-June 2020.",help,low,general
Data has been populated based on Organizational units(not subcounties),help,low,general
"Good afternoon Team CPIMS, As we strive to improve the quality of data entered into CPIMS , we have pulled out the CPIMS ID's of cases of children that have ages above 24 years. Please confirm that the ages indicated are right and correct for cases that have wrong DoB in the system. Please raise alert incase you have challenges with account rights to edit the case details. Please confirm receipt of this message.",ChallengesOfStaff,low,training_admin
We have cases of children aged -1 years and upto 41 years.,help,low,general
You mean date of birth later than when case was reported,help,low,general
"Dear Team CPIMS. Today marks the last day of Q1 of FY 2020/21. Henceforth, we shall compile the final Caseload data for the last FY 2019/20. Below is a screenshot of the available data on CPIMS for the period July 2019-June 2020. Please confirm that you have completed data entry for the last FY. The data is based on Sub counties(not offices).Missing subcounty names mean that we have zero cases for that period on the system.",DataEntry,medium,data_registry
We are all encouraged to enter all missing information for the last FY as soon as possible. Intervention rates should be ideally below 10% (3 months later).,missinginformation,medium,data_registry
Below is a screenshot of the pending and open cases by month. This should help in follow-up and management. Please confirm receipt of these messages.,help,low,general
"Goodmorning, Am trying to log into CPIMS but am unable.Kindly assist.",login,medium,ict_support
What's your email address?,Emailaccess,medium,ict_support
When did you lastly log in to CPIMS,login,medium,ict_support
nancywaswa@yahoo.co.uk,help,low,general
Yes thats my email.,Emailaccess,medium,ict_support
